Date,NO_weighted_value(ug m-3)
2021-05-21,2.109366452598808
2021-05-22,3.6521667867056453
2021-05-23,1.1
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,5.347437037144012
2021-05-27,14.611659857129961
2021-05-28,23.67083244409681
2021-05-29,15.71479974508219
2021-05-30,16.61612141890772
2021-05-31,8.079549731150358
2021-06-01,19.345466199782937
2021-06-02,26.915788488832913
2021-06-03,0.0
2021-06-04,13.309502524344238
2021-06-05,6.749973321251082
2021-06-06,3.5
2021-06-07,6.8124444854582125
2021-06-08,9.737231611685987
2021-06-09,0.0
2021-06-10,0.0
2021-06-11,0.0
2021-06-12,9.191520422967296
2021-06-13,5.7
2021-06-14,11.9
2021-06-15,24.086288594547042
2021-06-16,0.0
2021-06-17,6.271102837598972
2021-06-18,28.203746912109487
2021-06-19,17.335522210479798
2021-06-20,11.478161965754502
2021-06-21,10.732740066371438
2021-06-22,5.76469772569014
2021-06-23,4.383567126996195
2021-06-24,6.6
2021-06-25,20.286972433433107
2021-06-26,9.57262700495518
2021-06-27,9.495604129889543
2021-06-28,8.7
2021-06-29,34.0
2021-06-30,3.1047632010901283
2021-07-01,6.6
2021-07-02,0.0
2021-07-03,0.0
2021-07-04,6.323413044276232
2021-07-05,0.0
2021-07-06,1.7894902436814408
2021-07-07,2.1
2021-07-08,0.0
2021-07-09,0.0
2021-07-10,4.648754131492753
2021-07-11,7.00501045978633
2021-07-12,19.10369603125246
2021-07-13,8.6
2021-07-14,3.6214365423645973
2021-07-15,26.6
2021-07-16,8.566919990291018
2021-07-17,7.02567099255164
2021-07-18,14.1
2021-07-19,13.707306035789609
2021-07-20,4.0
2021-07-21,17.73205368282804
2021-07-22,21.485699284621656
2021-07-23,3.1
2021-07-24,14.338830699495537
2021-07-25,19.282114034612658
2021-07-26,7.584299860320288
2021-07-27,0.0
2021-07-28,0.0
2021-07-29,0.0
2021-07-30,10.620272776812183
2021-07-31,0.0
2021-08-01,8.584767887915834
2021-08-02,11.83548816581633
2021-08-03,5.2451364739329165
2021-08-04,7.2998734373381815
2021-08-05,5.10484025761667
2021-08-06,0.0
2021-08-07,8.870037381487155
2021-08-08,0.0
2021-08-09,0.0
2021-08-10,0.0
2021-08-11,0.0
2021-08-12,8.860246128250743
2021-08-13,0.0
2021-08-14,0.0
2021-08-15,0.0
2021-08-16,10.556469126857653
2021-08-17,16.13488905979434
2021-08-18,0.0
2021-08-19,7.964665405887744
2021-08-20,5.675587422371137
2021-08-21,13.04169733691749
2021-08-22,12.7
2021-08-23,25.5
2021-08-24,8.205711972175473
2021-08-25,6.503803468395291
